pt0,,510795.614,3985708.987,37.907
pt1,,510795.036,3985709.278,38.102
pt2,,510794.631,3985708.692,38.080
pt3,,510794.673,3985708.302,38.053
pt4,,510793.752,3985708.381,38.245
pt5,,510792.528,3985708.422,38.408
pt6,,510776.793,3985705.436,38.414
pt7,,510763.060,3985701.683,38.321
pt8,,510747.437,3985699.746,38.420
pt9,,510727.310,3985694.739,38.326
pt10,,510719.642,3985694.473,38.198
pt11,,510697.137,3985690.134,37.741
pt12,,510696.611,3985690.095,37.712
pt13,,510695.141,3985689.838,38.398
pt14,,510694.643,3985689.445,38.463
pt15,,510694.516,3985690.159,38.535
pt16,,510693.553,3985695.312,38.672
pt17,,510692.597,3985700.256,38.828
pt18,,510691.692,3985705.026,38.957
pt19,,510690.772,3985709.766,39.077
pt20,,510690.174,3985712.388,39.073
pt21,,510690.712,3985715.368,39.144
pt22,,510691.998,3985717.793,39.174
pt23,,510694.153,3985719.867,39.164
pt24,,510696.393,3985721.106,39.158
pt25,,510694.495,3985716.686,38.998
pt26,,510693.557,3985712.796,38.192
pt27,,510700.884,3985713.332,38.133
pt28,,510710.902,3985714.263,38.171
pt29,,510720.908,3985715.522,38.213
pt30,,510733.859,3985717.514,38.233
pt31,,510744.811,3985719.624,38.220
pt32,,510754.667,3985721.796,38.236
pt33,,510769.409,3985725.619,38.097
pt34,,510787.988,3985731.344,38.188
pt35,,510786.177,3985735.491,38.573
pt36,,510782.857,3985735.395,38.663
pt37,,510777.639,3985732.402,38.580
pt38,,510777.415,3985733.693,38.611
pt39,,510758.103,3985727.053,38.579
pt40,,510722.537,3985720.193,38.709
pt41,,510696.590,3985721.216,39.083
pt42,,510704.457,3985721.429,38.332
pt43,,510709.202,3985721.881,38.027
pt44,,510713.881,3985722.850,38.913
pt45,,510718.758,3985723.453,38.909
pt46,,510724.752,3985724.518,38.919
pt47,,510733.561,3985725.707,38.852
pt48,,510740.101,3985726.020,39.075
pt49,,510747.457,3985728.538,38.737
pt50,,510760.704,3985731.697,38.680
pt51,,510765.633,3985732.909,38.666
pt52,,510770.461,3985734.208,38.534
pt53,,510774.601,3985735.777,38.647
pt54,,510775.156,3985735.664,38.666
pt55,,510779.958,3985737.067,38.594
pt56,,510784.774,3985738.535,38.381
pt57,,510785.573,3985738.761,38.303
pt58,,510787.836,3985737.851,38.265
pt59,,510789.520,3985736.045,38.221
pt60,,510790.628,3985733.671,38.179
pt61,,510791.468,3985729.056,38.044
pt62,,510792.568,3985723.562,37.928
pt63,,510793.474,3985718.855,37.784
pt64,,510794.399,3985713.899,37.533
pt65,,510796.264,3985704.268,37.172
pt66,,510795.319,3985704.167,37.545
pt67,,510795.142,3985704.582,37.532
pt68,,510794.298,3985704.446,38.048
pt69,,510778.451,3985701.123,37.874
pt70,,510779.023,3985697.422,37.853
pt71,,510778.875,3985693.596,37.864
pt72,,510777.075,3985690.208,37.844
pt73,,510771.851,3985687.128,37.840
pt74,,510757.088,3985684.269,37.880
pt75,,510759.230,3985673.986,38.063
pt76,,510759.129,3985673.890,37.751
pt77,,510759.177,3985673.635,37.610
pt78,,510759.227,3985673.358,37.466
pt79,,510759.275,3985673.084,37.315
pt80,,510759.325,3985672.806,37.169
pt81,,510759.406,3985672.545,37.061
pt82,,510763.567,3985672.337,37.048
pt83,,510766.630,3985670.756,37.039
pt84,,510769.187,3985667.616,37.067
pt85,,510769.932,3985665.415,37.052
pt86,,510770.944,3985660.225,37.077
pt87,,510790.096,3985663.927,36.979
pt88,,510801.692,3985675.236,37.301
pt89,,510801.941,3985673.875,37.332
pt90,,510801.861,3985672.612,37.365
pt91,,510802.398,3985671.513,37.298
pt92,,510802.130,3985671.153,37.295
pt93,,510802.696,3985670.051,37.319
pt94,,510802.986,3985668.564,37.345
pt95,,510803.432,3985666.278,37.406
pt96,,510804.198,3985664.950,37.327
pt97,,510800.784,3985664.198,37.213
pt98,,510799.528,3985663.632,37.171
pt99,,510797.987,3985660.961,37.245
pt100,,510797.989,3985660.150,37.190
pt101,,510798.450,3985657.719,37.236
pt102,,510804.483,3985663.434,37.095
pt103,,510805.369,3985659.068,37.156
pt104,,510806.448,3985653.057,37.140
pt105,,510806.256,3985651.817,37.177
pt106,,510806.023,3985651.437,37.176
pt107,,510806.536,3985650.382,37.221
pt108,,510807.019,3985648.031,37.227
pt109,,510807.300,3985646.565,37.180
pt110,,510807.578,3985645.077,37.196
pt111,,510808.045,3985642.720,37.170
pt112,,510808.717,3985641.298,37.101
pt113,,510801.625,3985640.000,37.209
pt114,,510797.779,3985640.101,37.231
pt115,,510795.783,3985641.231,37.395
pt116,,510794.123,3985643.782,37.256
pt117,,510793.624,3985648.052,37.250
pt118,,510793.051,3985648.925,37.254
pt119,,510773.842,3985645.129,37.346
pt120,,510774.316,3985643.186,37.295
pt121,,510774.500,3985642.323,37.415
pt122,,510774.050,3985641.611,37.370
pt123,,510773.217,3985641.473,37.380
pt124,,510772.520,3985641.963,37.370
pt125,,510772.383,3985642.785,37.366
pt126,,510772.884,3985643.486,37.336
pt127,,510773.712,3985643.656,37.362
pt128,,510775.007,3985639.107,37.431
pt129,,510774.858,3985636.262,37.417
pt130,,510772.599,3985631.966,37.424
pt131,,510768.728,3985629.668,37.385
pt132,,510770.365,3985619.075,37.260
pt133,,510771.215,3985616.728,37.215
pt134,,510776.239,3985617.695,37.210
pt135,,510788.124,3985619.472,37.136
pt136,,510792.318,3985617.602,37.110
pt137,,510795.862,3985610.273,37.130
pt138,,510797.137,3985603.707,37.117
pt139,,510798.338,3985597.523,37.132
pt140,,510816.621,3985601.044,37.050
pt141,,510816.369,3985599.642,37.103
pt142,,510816.270,3985598.396,37.067
pt143,,510816.848,3985597.167,37.040
pt144,,510817.153,3985595.577,37.040
pt145,,510817.456,3985593.981,37.022
pt146,,510817.379,3985592.717,37.021
pt147,,510817.960,3985591.494,37.023
pt148,,510818.439,3985589.004,37.031
pt149,,510818.741,3985587.417,36.999
pt150,,510819.037,3985585.836,37.004
pt151,,510820.043,3985583.464,36.918
pt152,,510801.800,3985579.960,37.255
pt153,,510804.656,3985565.358,37.224
pt154,,510804.290,3985560.533,37.209
pt155,,510802.650,3985557.745,37.121
pt156,,510798.446,3985555.036,37.108
pt157,,510783.752,3985552.078,37.127
pt158,,510788.340,3985528.117,36.827
pt159,,510823.687,3985535.024,36.771
pt160,,510826.201,3985536.431,36.776
pt161,,510827.820,3985539.074,36.759
pt162,,510828.183,3985541.527,36.748
pt163,,510827.231,3985543.282,36.872
pt164,,510820.394,3985578.433,36.886
pt165,,510790.790,3985594.518,36.992
pt166,,510785.584,3985593.501,36.997
pt167,,510781.514,3985598.243,36.972
pt168,,510771.238,3985603.146,37.021
pt169,,510770.246,3985608.477,37.052
pt170,,510787.459,3985611.800,37.020
pt171,,510793.650,3985579.876,37.131
pt172,,510788.315,3985578.862,37.145
pt173,,510782.454,3985585.288,37.139
pt174,,510764.821,3985597.211,37.142
pt175,,510755.585,3985605.575,37.189
pt176,,510756.636,3985600.246,37.144
pt177,,510752.910,3985579.630,37.098
pt178,,510744.565,3985570.399,37.059
pt179,,510749.846,3985571.412,37.091
pt180,,510770.599,3985567.746,37.204
pt181,,510775.687,3985562.322,37.202
pt182,,510776.263,3985559.212,37.184
pt183,,510768.416,3985557.677,37.185
pt184,,510765.061,3985556.481,37.191
pt185,,510764.057,3985561.830,37.224
pt186,,510764.135,3985548.179,37.128
pt187,,510764.119,3985546.834,37.208
pt188,,510766.496,3985535.330,37.118
pt189,,510768.772,3985524.259,36.827
pt190,,510767.537,3985536.966,36.955
pt191,,510767.782,3985537.327,36.968
pt192,,510771.239,3985537.686,36.943
pt193,,510769.377,3985537.315,36.957
pt194,,510772.942,3985536.822,36.922
pt195,,510773.064,3985536.201,36.920
pt196,,510779.983,3985537.519,36.904
pt197,,510781.113,3985539.603,36.932
pt198,,510782.929,3985539.968,36.921
pt199,,510784.727,3985540.304,36.926
pt200,,510780.751,3985527.991,36.835
pt201,,510780.957,3985526.979,36.818
pt202,,510776.012,3985526.034,36.830
pt203,,510768.768,3985524.262,36.827
pt204,,510734.808,3985517.859,36.895
pt205,,510729.442,3985519.397,36.833
pt206,,510726.011,3985524.203,36.892
pt207,,510718.408,3985563.848,37.361
pt208,,510718.998,3985565.274,37.412
pt209,,510716.104,3985580.273,37.351
pt210,,510715.042,3985581.377,37.366
pt211,,510733.548,3985585.001,37.178
pt212,,510730.671,3985600.200,37.112
pt213,,510731.139,3985604.222,37.281
pt214,,510733.961,3985608.263,37.414
pt215,,510737.250,3985610.080,37.395
pt216,,510751.748,3985612.904,37.518
pt217,,510751.558,3985615.794,37.553
pt218,,510749.303,3985625.848,37.742
pt219,,510738.775,3985638.229,37.732
pt220,,510719.528,3985634.477,38.065
pt221,,510720.445,3985630.056,38.011
pt222,,510719.537,3985625.695,37.993
pt223,,510715.138,3985623.080,38.013
pt224,,510707.636,3985621.730,38.082
pt225,,510708.089,3985622.993,38.093
pt226,,510708.325,3985623.386,38.130
pt227,,510707.827,3985624.496,38.175
pt228,,510708.116,3985624.569,38.173
pt229,,510707.895,3985625.781,38.170
pt230,,510707.351,3985626.845,38.176
pt231,,510707.062,3985628.318,38.177
pt232,,510706.789,3985629.774,38.185
pt233,,510706.334,3985632.100,38.174
pt234,,510705.382,3985633.432,38.172
pt235,,510708.813,3985634.081,38.344
pt236,,510709.707,3985634.457,38.340
pt237,,510711.501,3985636.232,38.338
pt238,,510711.750,3985638.741,38.366
pt239,,510711.049,3985642.351,38.395
pt240,,510708.686,3985645.408,37.791
pt241,,510706.834,3985645.832,37.842
pt242,,510702.988,3985645.188,37.766
pt243,,510700.803,3985656.845,37.891
pt244,,510702.445,3985656.808,37.960
pt245,,510695.527,3985684.878,38.520
pt246,,510696.713,3985685.495,38.427
pt247,,510713.604,3985688.413,38.296
pt248,,510714.308,3985684.812,38.355
pt249,,510721.071,3985685.187,38.335
pt250,,510721.497,3985682.784,38.238
pt251,,510724.374,3985683.375,38.247
pt252,,510745.510,3985689.048,38.327
pt253,,510744.945,3985692.062,38.336
pt254,,510747.959,3985692.612,38.322
pt255,,510748.503,3985689.618,38.339
pt256,,510739.476,3985680.655,38.364
pt257,,510741.567,3985670.249,38.169
pt258,,510741.617,3985669.982,38.028
pt259,,510741.674,3985669.700,37.880
pt260,,510741.722,3985669.415,37.726
pt261,,510741.784,3985669.142,37.582
pt262,,510741.841,3985668.853,37.435
pt263,,510735.678,3985653.046,37.421
